"","folder","date","individual","morph","origin","observer","observation_number","observation","day_in_captivity","assay_number","cycle","cue","trait","session","temp","precip","humid","wind","press","moon","test_start","test_end","actual_end","first_trig","food_trig","emerge","emergeflip","food","foodflip","active","vigil","out","hidraw","hid","trig","trigpass","gud","tame"
"148","148 - EQ26 D10 T12 C7 S2",2017-07-06,"EQ26","Fawn","Wild","GH",148,10,10,12,1.08865125941499,"Control","Control",0.988896158930711,-1.68161901789852,-0.313291251794084,1.23763292475228,-1.43156923599354,-0.940130082407939,0.961706733638365,"0.91041666666666665","6.2500000000000003E-3","0.99375000000000002","0.91900462962962959","0.92550925925925931",-0.691179550939477,108,-1.04952487719675,99,-0.138604721131528,0.0648026157466472,-0.0733768875267893,13.6158,0.073376887526791,32,-0.164064398349556,-0.474123673370495,"0"
"149","149 - EQ27 D10 T12 C7 S2",2017-07-06,"EQ27","Dark","Wild","GH",149,12,10,12,1.08865125941499,"Control","Control",0.988896158930711,-1.68161901789852,-0.313291251794084,1.23763292475228,-1.43156923599354,-0.940130082407939,0.961706733638365,"0.91180555555555554","7.6388888888888886E-3","0.99513888888888891","0.98524305555555547","GUD",1.72510714232637,15,1.12706388897879,0,-0.497460816963542,-0.730750438739773,-0.625049793831347,2.62393333333333,0.625049793831347,6,-0.571836106868842,-0.474123673370495,"0"
"150","150 - EQ28 D08 T12 C8 S2",2017-07-07,"EQ28","Fawn","Wild","GH",150,12,8,12,1.52411176318099,"Light","Control",0.988896158930711,-1.04821955596936,-0.313291251794084,0.832207690554399,-0.240376909058943,-1.26478766116286,1.10265263037039,"0.91249999999999998","8.3333333333333332E-3","0.99583333333333335","0.9205902777777778","0.9223958333333333",-0.717161128286421,109,-1.20342509298694,106,-0.544658206555377,-0.780684077089832,-0.677069346195273,6.45993333333333,0.677069346195275,13,-0.46989317973902,-0.474123673370495,"0"
"151","151 - EQ30 D08 T12 C6 S2",2017-07-13,"EQ30","Fawn","Wild","GH",151,8,8,12,0.653190755648996,"Scent","Control",0.988896158930711,-1.58660909860914,-0.313291251794084,1.1565478779127,-0.468477567408121,0.0663084117323241,0.820760836906344,"0.91180555555555554","4.1666666666666666E-3","0.99513888888888891","0.93914351851851852","0.94696759259259267",0.0103230374280271,81,-0.411938268923103,70,-0.210859988322424,-0.0736839386594723,-0.176309112059063,10.9763333333333,0.176309112059065,26,-0.164064398349556,-0.474123673370495,"0"
"152","152 - EQ31 D08 T12 C6 S2",2017-07-13,"EQ31","Fawn","Wild","GH",152,12,8,12,0.653190755648996,"Scent","Sociality",0.988896158930711,-1.58660909860914,-0.313291251794084,1.1565478779127,-0.468477567408121,0.0663084117323241,0.820760836906344,"0.91249999999999998","4.8611111111111112E-3","0.99583333333333335","0.96326388888888881","0.97597222222222213",0.893696667224143,47,0.48947728070515,29,0.413459089533003,-0.351592286626476,0.159453453199006,4.86756666666667,-0.159453453199005,17,-0.41892171617411,-0.474123673370495,"0"
"153","153 - EQ18 D08 T13 C7 S1",2017-06-21,"EQ18","Fawn","Captive","BW",153,11,8,13,1.08865125941499,"Audio","Boldness",-1.00671410774027,0.250249340985402,-0.313291251794084,-0.302982965199665,-0.975367919295183,1.00781539012159,-1.3504057425401,"0.74722222222222223","0.83472222222222225","0.8305555555555556","0.76052083333333342","GUD",-0.509308509510865,101,1.12706388897879,0,-0.329440925508473,-0.301770470349269,-0.345539643478226,8.10403333333333,0.345539643478225,19,-0.316978789044288,-0.474123673370495,"2"
"154","154 - EQ19 D11 T13 C2 S1",2017-06-24,"EQ19","Dark","Captive","BW",154,13,11,13,-1.08865125941499,"Scent","Sociality",-1.00671410774027,0.788638883625182,-0.313291251794084,-1.194918480435,1.16624381742766,-0.761568414092729,-1.76724573500289,"0.74513888888888891","0.83750000000000002","0.82847222222222228","0.74991898148148151","0.75732638888888892",-0.847069015021144,114,-1.13746785764828,103,-0.341179360822813,-0.597743165903417,-0.464941481955055,12.7203333333333,0.464941481955057,27,-0.113092934784646,-0.474123673370495,"0"
"155","155 - EQ20 D08 T13 C7 S1",2017-06-21,"EQ20","Dark","Captive","BW",155,11,8,13,1.08865125941499,"Audio","Boldness",-1.00671410774027,0.250249340985402,-0.313291251794084,-0.302982965199665,-0.975367919295183,1.00781539012159,-1.3504057425401,"0.74791666666666667","0.83611111111111114","0.83125000000000004","0.75350694444444455","0.75386574074074064",-0.795105860327255,112,-1.33533956366424,112,0.685132396881854,1.0207186883463,0.866219359045407,27.0392,-0.866219359045407,66,0.804393409383747,0.14478752446314,"2"
"156","156 - EQ21 D08 T13 C7 S1",2017-06-21,"EQ21","Fawn","Captive","BW",156,12,8,13,1.08865125941499,"Audio","Boldness",-1.00671410774027,0.250249340985402,-0.313291251794084,-0.302982965199665,-0.975367919295183,1.00781539012159,-1.3504057425401,"0.74791666666666667","0.83680555555555547","0.83125000000000004","0.75157407407407406","0.75149305555555557",-0.873050592368089,115,-1.40129679900289,115,0.0442993763563454,-0.37120181194758,-0.108144376152734,7.06716666666667,0.108144376152735,19,-0.316978789044288,-0.474123673370495,"0"
"157","157 - EQ22 D08 T13 C7 S1",2017-06-21,"EQ22","Dark","Captive","BW",157,10,8,13,1.08865125941499,"Audio","Boldness",-1.00671410774027,0.250249340985402,-0.313291251794084,-0.302982965199665,-0.975367919295183,1.00781539012159,-1.3504057425401,"0.74861111111111101","0.83750000000000002","0.83194444444444438","0.75670138888888883","0.75670138888888883",-0.717161128286421,109,-1.26938232832559,109,4.29923852947001,3.18310343623573,4.22584121280641,128.870133333333,-4.22584121280641,292,5.03502488527133,-0.474123673370495,"2"
"158","158 - EQ23 D11 T13 C2 S1",2017-06-24,"EQ23","Fawn","Captive","BW",158,13,11,13,-1.08865125941499,"Scent","Sociality",-1.00671410774027,0.788638883625182,-0.313291251794084,-1.194918480435,1.16624381742766,-0.761568414092729,-1.76724573500289,"0.74722222222222223","0.84027777777777779","0.8305555555555556","0.74995370370370373","0.77151620370370377",-0.925013747061978,117,-0.763710190729251,86,2.60107461105724,1.64332365870211,2.45060767099639,63.3245833333333,-2.45060767099639,150,1.92576560781178,-0.474123673370495,"2"
"159","159 - EQ24 D11 T13 C8 S1",2017-07-07,"EQ24","Fawn","Wild","GH",159,13,11,13,1.52411176318099,"Scent","Sociality",-1.00671410774027,0.756968910528725,-0.313291251794084,-1.60034371463288,1.16624381742766,-1.55697948204228,1.10265263037039,"0.74305555555555558","0.83819444444444446","0.82638888888888895","0.75317129629629631","0.7610069444444445",-0.639216396245588,106,-0.961581896745209,95,-0.230016161819718,0.00679745686524674,-0.159595221105829,24.3008833333333,0.159595221105829,52,-0.0621214712197349,-0.474123673370495,"0"
"160","160 - EQ25 D11 T13 C8 S1",2017-07-07,"EQ25","Dark","Wild","GH",160,13,11,13,1.52411176318099,"Scent","Sociality",-1.00671410774027,0.756968910528725,-0.313291251794084,-1.60034371463288,1.16624381742766,-1.55697948204228,1.10265263037039,"0.74375000000000002","0.83888888888888891","0.82708333333333339","0.76585648148148155","0.76585648148148155",-0.19752958134753,89,-0.829667426067903,89,-0.141523086737814,0.341003135691906,0.0282690658816574,9.56353333333333,-0.0282690658816553,25,-0.41892171617411,-0.474123673370495,"-"
"161","161 - EQ26 D11 T13 C8 S1",2017-07-07,"EQ26","Fawn","Wild","GH",161,11,11,13,1.52411176318099,"Scent","Sociality",-1.00671410774027,0.756968910528725,-0.313291251794084,-1.60034371463288,1.16624381742766,-1.55697948204228,1.10265263037039,"0.74444444444444446","0.83958333333333335","0.82777777777777783","0.74836805555555552","0.7578125",-0.873050592368089,115,-1.09349636742251,101,0.595556440313388,4.18430744834057,1.99088597431832,39.6653333333333,-1.99088597431832,100,0.702450482253925,-0.474123673370495,"0"
"162","162 - EQ27 D11 T13 C8 S1",2017-07-07,"EQ27","Dark","Wild","GH",162,13,11,13,1.52411176318099,"Scent","Sociality",-1.00671410774027,0.756968910528725,-0.313291251794084,-1.60034371463288,1.16624381742766,-1.55697948204228,1.10265263037039,"0.74583333333333335","0.84097222222222223","0.82916666666666672","0.76072916666666668","GUD",-0.457345354816976,99,1.12706388897879,0,-0.543310019104607,-0.60634329987006,-0.610660351288827,7.20073333333333,0.610660351288827,15,-0.41892171617411,-0.474123673370495,"0"
"163","163 - EQ28 D09 T13 C1 S1",2017-07-08,"EQ28","Fawn","Wild","BW",163,13,9,13,-1.52411176318099,"Light","Control",-1.00671410774027,0.598619045046436,0.313291251794084,0.588952550035671,0.67202572433777,-0.696636898341748,1.19261809636955,"0.74513888888888891","0.84375","0.82847222222222228","0.74646990740740737","0.75350694444444455",-0.976976901755867,119,-1.2473965832127,108,-0.216897052610011,0.960741394725501,0.207824117745784,15.4804333333333,-0.207824117745784,38,0.345650237299551,-0.474123673370495,"0"
"164","164 - EQ29 D08 T13 C1 S1",2017-07-08,"EQ29","Fawn","Wild","BW",164,11,8,13,-1.52411176318099,"Light","Control",-1.00671410774027,0.598619045046436,0.313291251794084,0.588952550035671,0.67202572433777,-0.696636898341748,1.19261809636955,"0.74027777777777803","0.84097222222222223","0.8236111111111114","0.75373842592592588","0.76497685185185194",-0.509308509510865,101,-0.741724445616366,85,-0.151648028637176,0.0845442944265769,-0.0751593463244968,11.0454166666667,0.0751593463244957,27,-0.0621214712197349,-0.474123673370495,"0"
"165","165 - EQ30 D09 T13 C7 S1",2017-07-14,"EQ30","Fawn","Wild","BW",165,9,9,13,1.08865125941499,"Audio","Boldness",-1.00671410774027,0.883648802914555,0.939873755382253,0.670037596875247,0.443925065988591,-0.891431445594708,0.586850625308523,"0.74513888888888891","0.83402777777777781","0.82847222222222228","0.76593750000000005","GUD",-0.249492736041419,91,1.12706388897879,0,-0.39561581315232,-0.336852104295941,-0.40536079280685,5.27331666666667,0.40536079280685,13,-0.520864643303931,-0.474123673370495,"0"
"166","166 - EQ31 D09 T13 C7 S1",2017-07-14,"EQ31","Fawn","Wild","BW",166,13,9,13,1.08865125941499,"Audio","Boldness",-1.00671410774027,0.883648802914555,0.939873755382253,0.670037596875247,0.443925065988591,-0.891431445594708,0.586850625308523,"0.74375000000000002","0.83472222222222225","0.82708333333333339","0.76435185185185184","GUD",-0.249492736041419,91,1.12706388897879,0,-0.303522157127595,-0.0879158388406782,-0.246973870476096,3.54893333333333,0.246973870476097,11,-0.622807570433752,-0.474123673370495,"0"
"167","167 - EQ18 D08 T14 C7 S2",2017-06-21,"EQ18","Fawn","Captive","BW",167,12,8,14,1.08865125941499,"Control","Control",0.988896158930711,-0.256470228557921,-0.313291251794084,0.670037596875247,-0.0122762507097649,1.23507569525005,-1.3504057425401,"-","-","-","-","-",2.11483080253054,0,1.12706388897879,0,-0.589343311098387,-0.84267416802197,-0.731844648563364,12,0.731844648563365,0,-0.673779033998663,2.41412858318647,"0"
